timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
5287,528,7,4da5,DL,2,8.00,0,4,0,0,0,1,598.96,0.03,0.5000,2,7
5288,528,8,4da5,DL,2,8.00,0,4,0,0,0,1,592.97,0.03,0.5000,2,0
5289,528,9,4da5,DL,2,8.00,1,7,4,7,0,1,587.04,0.06,0.5000,1,1
5314,531,4,4da5,DL,2,8.00,0,4,2,7,0,1,456.61,0.08,0.5000,1,2
5319,531,9,4da5,DL,2,8.00,7,28,24,7,0,1,434.23,0.08,0.5000,1,7
5341,534,1,4da5,DL,2,8.00,0,4,2,7,0,1,348.09,0.10,0.5000,1,5
5351,535,1,4da5,DL,2,8.00,3,13,10,7,0,1,314.81,0.11,0.5000,1,7
5371,537,1,4da5,DL,2,8.00,0,4,2,7,0,1,257.48,0.14,0.5000,1,3
5372,537,2,4da5,DL,2,8.00,5,18,17,7,0,1,254.91,0.14,0.5000,1,4
5394,539,4,4da5,DL,2,8.00,0,4,2,7,0,1,204.34,0.18,0.5000,1,2
5395,539,5,4da5,DL,8,32.00,9,157,151,7,0,1,202.30,0.18,0.5000,1,3
5414,541,4,4da5,DL,2,8.00,0,4,2,7,0,1,167.13,0.22,0.5000,1,6
5424,542,4,4da5,DL,2,8.00,1,7,4,7,0,1,151.15,0.24,0.5000,1,0
5428,542,8,4da5,DL,2,8.00,11,41,37,7,0,1,145.20,0.25,0.5000,1,4
5459,545,9,4da5,DL,2,8.00,1,7,4,8,0,1,106.33,0.49,0.5000,1,3
5485,548,5,4da5,DL,2,8.00,0,4,2,8,0,1,81.88,0.52,0.5000,1,5
2348,234,8,4da5,DL,2,8.00,0,4,2,8,0,1,10.00,0.52,0.5000,1,4
2356,235,6,4da5,DL,2,8.00,0,4,0,7,1,1,10.00,0.36,0.5000,1,4
4541,454,1,68b4,DL,2,8.00,0,4,2,15,0,1,547.11,6.51,5.0000,0,5
8075,807,5,b7fb,DL,4,16.00,0,11,2,0,0,1,793.61,0.12,3.0000,2,3
8087,808,7,b7fb,DL,14,56.00,0,47,44,0,0,1,703.45,0.14,3.0000,2,7
8088,808,8,b7fb,DL,2,8.00,0,4,0,0,0,1,696.41,0.14,3.0000,2,0
8089,808,9,b7fb,DL,2,8.00,0,4,0,0,0,1,689.45,0.14,3.0000,2,1
8090,809,0,b7fb,DL,2,8.00,0,4,0,0,0,1,682.55,0.14,3.0000,2,2
8091,809,1,b7fb,DL,2,8.00,0,4,0,0,0,1,675.73,0.15,3.0000,2,3
8092,809,2,b7fb,DL,2,8.00,0,4,0,0,0,1,668.97,0.15,3.0000,2,4
8093,809,3,b7fb,DL,2,8.00,0,4,0,0,0,1,662.28,0.15,3.0000,2,5
8094,809,4,b7fb,DL,2,8.00,0,4,0,0,0,1,655.66,0.15,3.0000,2,6
8096,809,6,b7fb,DL,2,8.00,0,4,0,0,0,1,642.61,0.15,3.0000,2,0
8097,809,7,b7fb,DL,2,8.00,0,4,0,0,0,1,636.19,0.15,3.0000,2,1
8098,809,8,b7fb,DL,2,8.00,0,4,0,0,0,1,629.82,0.16,3.0000,2,2
8099,809,9,b7fb,DL,2,8.00,0,4,0,0,0,1,623.53,0.16,3.0000,2,3
8100,810,0,b7fb,DL,2,8.00,0,4,0,0,0,1,617.29,0.16,3.0000,2,4
