timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
9606,960,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9723,972,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
10012,1001,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
10132,1013,2,1a69,DL,18,28,1692,15,0,16,712.00,24.00
195,19,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
310,31,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
616,61,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
730,73,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
1039,103,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1155,115,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1459,145,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1568,156,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1880,188,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
2000,200,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
2309,230,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
2429,242,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
2722,272,2,7e22,DL,18,28,1692,15,0,1,712.00,1.50
2833,283,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3113,311,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3215,321,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3479,347,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3569,356,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
3853,385,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
3954,395,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4235,423,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4343,434,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4617,461,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
4699,469,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
4967,496,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5075,507,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5385,538,5,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5494,549,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
5788,578,8,7e22,DL,18,28,1692,15,0,16,712.00,24.00
5896,589,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6213,621,3,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6325,632,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
6630,663,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
6743,674,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7061,706,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
