timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util(%),mcs,tbs_bytes,sdu_bytes,cqi,retx,harq_pid
4428,442,8,d8ce,UL,3,10,63,60,0
4455,445,5,d8ce,UL,3,10,63,60,0
4482,448,2,d8ce,UL,3,10,63,60,0
4509,450,9,d8ce,UL,3,10,63,60,0
4536,453,6,d8ce,UL,3,10,63,60,0
4563,456,3,d8ce,UL,3,10,63,60,0
4590,459,0,d8ce,UL,3,10,63,60,0
4618,461,8,d8ce,UL,3,10,63,60,0
4645,464,5,d8ce,UL,3,10,63,60,0
4672,467,2,d8ce,UL,3,10,63,60,0
4699,469,9,d8ce,UL,3,10,63,60,0
4726,472,6,d8ce,UL,3,10,63,60,0
4753,475,3,d8ce,UL,3,10,63,60,0
4780,478,0,d8ce,UL,3,10,63,60,0
4807,480,7,d8ce,UL,3,10,63,60,0
4834,483,4,d8ce,UL,3,10,63,60,0
4861,486,1,d8ce,UL,3,10,63,60,0
4888,488,8,d8ce,UL,3,10,63,60,0
4915,491,5,d8ce,UL,3,10,63,60,0
4942,494,2,d8ce,UL,3,10,63,60,0
4969,496,9,d8ce,UL,3,10,63,60,0
4996,499,6,d8ce,UL,3,10,63,60,0
5023,502,3,d8ce,UL,3,10,63,60,0
5050,505,0,d8ce,UL,3,10,63,60,0
5078,507,8,d8ce,UL,3,10,63,60,0
5105,510,5,d8ce,UL,3,10,63,60,0
5132,513,2,d8ce,UL,3,10,63,60,0
5159,515,9,d8ce,UL,3,10,63,60,0
5186,518,6,d8ce,UL,3,10,63,60,0
5213,521,3,d8ce,UL,3,10,63,60,0
5240,524,0,d8ce,UL,3,10,63,60,0
5267,526,7,d8ce,UL,3,10,63,60,0
5294,529,4,d8ce,UL,3,10,63,60,0
5321,532,1,d8ce,UL,3,10,63,60,0
5348,534,8,d8ce,UL,3,10,63,60,0
5375,537,5,d8ce,UL,3,10,63,60,0
5402,540,2,d8ce,UL,3,10,63,60,0
5429,542,9,d8ce,UL,3,10,63,60,0
5456,545,6,d8ce,UL,3,10,63,60,0
5483,548,3,d8ce,UL,3,10,63,60,0
5510,551,0,d8ce,UL,3,10,63,60,0
5538,553,8,d8ce,UL,3,10,63,60,0
5565,556,5,d8ce,UL,3,10,63,60,0
5592,559,2,d8ce,UL,3,10,63,60,0
5619,561,9,d8ce,UL,3,10,63,60,0
5646,564,6,d8ce,UL,3,10,63,60,0
5673,567,3,d8ce,UL,3,10,63,60,0
5700,570,0,d8ce,UL,3,10,63,60,0
5727,572,7,d8ce,UL,3,10,63,60,0
5754,575,4,d8ce,UL,3,10,63,60,0
5781,578,1,d8ce,UL,3,10,63,60,0
5808,580,8,d8ce,UL,3,10,63,60,0
5835,583,5,d8ce,UL,3,10,63,60,0
